method,p,rep,rho,rho_tilde,dataset,tier,method_class
ThreeSigma,0.1,0,1.0,0.9643478260869565,vertebral,T1,I
ThreeSigma,0.1,1,0.5,0.8973913043478261,vertebral,T1,I
ThreeSigma,0.1,2,0.5,0.7913043478260868,vertebral,T1,I
ThreeSigma,0.1,3,0.5,0.766086956521739,vertebral,T1,I
ThreeSigma,0.1,4,1.0,0.8660869565217391,vertebral,T1,I
ThreeSigma,0.1,5,0.5,0.9330434782608694,vertebral,T1,I
ThreeSigma,0.1,6,1.0,0.84,vertebral,T1,I
ThreeSigma,0.1,7,0.5,0.9513043478260867,vertebral,T1,I
ThreeSigma,0.1,8,1.0,0.9652173913043477,vertebral,T1,I
ThreeSigma,0.1,9,1.0,0.9652173913043477,vertebral,T1,I
ThreeSigma,0.1,10,0.5,0.8791304347826084,vertebral,T1,I
ThreeSigma,0.1,11,0.5,0.8573913043478261,vertebral,T1,I
ThreeSigma,0.1,12,0.5,0.9078260869565216,vertebral,T1,I
ThreeSigma,0.1,13,1.0,0.8608695652173911,vertebral,T1,I
ThreeSigma,0.1,14,1.0,0.9565217391304346,vertebral,T1,I
ThreeSigma,0.1,15,1.0,0.9156521739130434,vertebral,T1,I
ThreeSigma,0.1,16,1.0,0.9713043478260868,vertebral,T1,I
ThreeSigma,0.1,17,0.5,0.9034782608695651,vertebral,T1,I
ThreeSigma,0.1,18,1.0,0.9234782608695651,vertebral,T1,I
ThreeSigma,0.1,19,0.5,0.7721739130434783,vertebral,T1,I
BoxPlot,0.01,0,1.0,,vertebral,T1,I
BoxPlot,0.01,1,1.0,,vertebral,T1,I
BoxPlot,0.01,2,1.0,,vertebral,T1,I
BoxPlot,0.01,3,1.0,,vertebral,T1,I
BoxPlot,0.01,4,1.0,,vertebral,T1,I
BoxPlot,0.01,5,1.0,,vertebral,T1,I
BoxPlot,0.01,6,1.0,,vertebral,T1,I
BoxPlot,0.01,7,1.0,,vertebral,T1,I
BoxPlot,0.01,8,1.0,,vertebral,T1,I
BoxPlot,0.01,9,1.0,,vertebral,T1,I
BoxPlot,0.01,10,1.0,,vertebral,T1,I
BoxPlot,0.01,11,0.6666666666666666,,vertebral,T1,I
BoxPlot,0.01,12,1.0,,vertebral,T1,I
BoxPlot,0.01,13,1.0,,vertebral,T1,I
BoxPlot,0.01,14,1.0,,vertebral,T1,I
BoxPlot,0.01,15,1.0,,vertebral,T1,I
BoxPlot,0.01,16,1.0,,vertebral,T1,I
BoxPlot,0.01,17,0.6666666666666666,,vertebral,T1,I
BoxPlot,0.01,18,1.0,,vertebral,T1,I
BoxPlot,0.01,19,1.0,,vertebral,T1,I
BoxPlot,0.05,0,1.0,,vertebral,T1,I
BoxPlot,0.05,1,1.0,0.6305476678616638,vertebral,T1,I
BoxPlot,0.05,2,1.0,0.7385489458759964,vertebral,T1,I
BoxPlot,0.05,3,0.0,0.40125760682105877,vertebral,T1,I
BoxPlot,0.05,4,1.0,0.571605347479646,vertebral,T1,I
BoxPlot,0.05,5,0.0,0.604267319353088,vertebral,T1,I
BoxPlot,0.05,6,1.0,0.7779033216212786,vertebral,T1,I
BoxPlot,0.05,7,0.0,0.7973025021730276,vertebral,T1,I
BoxPlot,0.05,8,0.0,-0.17196754578045376,vertebral,T1,I
BoxPlot,0.05,9,0.15384615384615385,,vertebral,T1,I
BoxPlot,0.05,10,1.0,0.7385489458759964,vertebral,T1,I
BoxPlot,0.05,11,0.0,-0.09090909090909093,vertebral,T1,I
BoxPlot,0.05,12,1.0,1.0,vertebral,T1,I
BoxPlot,0.05,13,1.0,1.0,vertebral,T1,I
BoxPlot,0.05,14,0.0,0.9834710743801651,vertebral,T1,I
BoxPlot,0.05,15,0.15384615384615385,,vertebral,T1,I
BoxPlot,0.05,16,0.0,-0.09090909090909093,vertebral,T1,I
BoxPlot,0.05,17,1.0,1.0,vertebral,T1,I
BoxPlot,0.05,18,0.15384615384615385,,vertebral,T1,I
BoxPlot,0.05,19,0.0,0.9879518072289155,vertebral,T1,I
BoxPlot,0.1,0,0.5,0.5872202195147035,vertebral,T1,I
BoxPlot,0.1,1,0.15384615384615385,0.4978213403988642,vertebral,T1,I
BoxPlot,0.1,2,0.5,0.5,vertebral,T1,I
BoxPlot,0.1,3,0.5,0.7980238751210129,vertebral,T1,I
BoxPlot,0.1,4,0.15384615384615385,0.6595051082089965,vertebral,T1,I
BoxPlot,0.1,5,0.5,0.5410519780170145,vertebral,T1,I
BoxPlot,0.1,6,0.5,0.7063774289747291,vertebral,T1,I
BoxPlot,0.1,7,0.5,0.5613766893123635,vertebral,T1,I
BoxPlot,0.1,8,0.15384615384615385,0.7223151185146153,vertebral,T1,I
BoxPlot,0.1,9,1.0,0.8828289014497336,vertebral,T1,I
BoxPlot,0.1,10,0.15384615384615385,0.7223151185146153,vertebral,T1,I
BoxPlot,0.1,11,0.15384615384615385,0.7223151185146153,vertebral,T1,I
BoxPlot,0.1,12,0.15384615384615385,0.3942663926154919,vertebral,T1,I
BoxPlot,0.1,13,1.0,0.8851582653058013,vertebral,T1,I
BoxPlot,0.1,14,0.5,0.8043985903638537,vertebral,T1,I
BoxPlot,0.1,15,0.5,0.575612566921185,vertebral,T1,I
BoxPlot,0.1,16,1.0,0.675303252441909,vertebral,T1,I
BoxPlot,0.1,17,0.15384615384615385,0.6026258331144146,vertebral,T1,I
BoxPlot,0.1,18,1.0,0.8342976876265135,vertebral,T1,I
BoxPlot,0.1,19,1.0,1.0,vertebral,T1,I
MAD,0.01,0,0.0,,vertebral,T1,I
MAD,0.01,1,0.0,,vertebral,T1,I
MAD,0.01,2,0.0,,vertebral,T1,I
MAD,0.01,3,1.0,,vertebral,T1,I
MAD,0.01,4,0.0,,vertebral,T1,I
MAD,0.01,5,0.0,,vertebral,T1,I
MAD,0.01,6,0.6666666666666666,,vertebral,T1,I
MAD,0.01,7,1.0,,vertebral,T1,I
MAD,0.01,8,1.0,,vertebral,T1,I
MAD,0.01,9,0.6666666666666666,,vertebral,T1,I
MAD,0.01,10,0.0,,vertebral,T1,I
MAD,0.01,11,0.6666666666666666,,vertebral,T1,I
MAD,0.01,12,0.6666666666666666,,vertebral,T1,I
MAD,0.01,13,1.0,,vertebral,T1,I
MAD,0.01,14,0.6666666666666666,,vertebral,T1,I
MAD,0.01,15,1.0,,vertebral,T1,I
MAD,0.01,16,1.0,,vertebral,T1,I
MAD,0.01,17,0.0,,vertebral,T1,I
MAD,0.01,18,1.0,,vertebral,T1,I
MAD,0.01,19,1.0,,vertebral,T1,I
MAD,0.05,0,0.0,0.5524475524475525,vertebral,T1,I
MAD,0.05,1,1.0,0.7832167832167832,vertebral,T1,I
MAD,0.05,2,0.0,0.8251748251748254,vertebral,T1,I
MAD,0.05,3,0.0,0.6433566433566434,vertebral,T1,I
MAD,0.05,4,1.0,0.8951048951048951,vertebral,T1,I
MAD,0.05,5,1.0,0.9720279720279721,vertebral,T1,I
MAD,0.05,6,1.0,0.8321678321678322,vertebral,T1,I
MAD,0.05,7,0.0,0.9370629370629372,vertebral,T1,I
MAD,0.05,8,0.0,0.32867132867132864,vertebral,T1,I
MAD,0.05,9,0.0,0.8741258741258742,vertebral,T1,I
MAD,0.05,10,1.0,0.8041958041958043,vertebral,T1,I
MAD,0.05,11,0.0,0.8041958041958043,vertebral,T1,I
MAD,0.05,12,1.0,0.5944055944055945,vertebral,T1,I
MAD,0.05,13,0.0,-0.15384615384615385,vertebral,T1,I
MAD,0.05,14,0.0,0.8741258741258742,vertebral,T1,I
MAD,0.05,15,0.0,0.5104895104895105,vertebral,T1,I
MAD,0.05,16,1.0,0.8741258741258742,vertebral,T1,I
MAD,0.05,17,1.0,0.3846153846153847,vertebral,T1,I
MAD,0.05,18,1.0,0.43356643356643365,vertebral,T1,I
MAD,0.05,19,1.0,0.8951048951048951,vertebral,T1,I
MAD,0.1,0,0.5,0.9208695652173912,vertebral,T1,I
MAD,0.1,1,1.0,0.9443478260869566,vertebral,T1,I
MAD,0.1,2,1.0,0.8643478260869566,vertebral,T1,I
MAD,0.1,3,0.5,0.5382608695652172,vertebral,T1,I
MAD,0.1,4,0.5,0.8443478260869565,vertebral,T1,I
MAD,0.1,5,0.5,0.9052173913043478,vertebral,T1,I
MAD,0.1,6,0.5,0.877391304347826,vertebral,T1,I
MAD,0.1,7,1.0,0.9382608695652173,vertebral,T1,I
MAD,0.1,8,1.0,0.9773913043478261,vertebral,T1,I
MAD,0.1,9,1.0,0.9426086956521739,vertebral,T1,I
MAD,0.1,10,1.0,0.6382608695652173,vertebral,T1,I
MAD,0.1,11,0.5,0.9095652173913044,vertebral,T1,I
MAD,0.1,12,0.5,0.868695652173913,vertebral,T1,I
MAD,0.1,13,0.5,0.686086956521739,vertebral,T1,I
MAD,0.1,14,0.5,0.9486956521739129,vertebral,T1,I
MAD,0.1,15,0.5,0.9234782608695651,vertebral,T1,I
MAD,0.1,16,1.0,0.9269565217391305,vertebral,T1,I
MAD,0.1,17,1.0,0.8643478260869566,vertebral,T1,I
MAD,0.1,18,1.0,0.8434782608695651,vertebral,T1,I
MAD,0.1,19,0.5,0.7530434782608695,vertebral,T1,I
ChiSquare,0.01,0,0.0,,vertebral,T1,I
ChiSquare,0.01,1,0.0,,vertebral,T1,I
ChiSquare,0.01,2,0.0,,vertebral,T1,I
ChiSquare,0.01,3,0.6666666666666666,,vertebral,T1,I
ChiSquare,0.01,4,0.0,,vertebral,T1,I
ChiSquare,0.01,5,0.0,,vertebral,T1,I
ChiSquare,0.01,6,1.0,,vertebral,T1,I
ChiSquare,0.01,7,0.0,,vertebral,T1,I
ChiSquare,0.01,8,1.0,,vertebral,T1,I
ChiSquare,0.01,9,0.6666666666666666,,vertebral,T1,I
ChiSquare,0.01,10,0.0,,vertebral,T1,I
ChiSquare,0.01,11,1.0,,vertebral,T1,I
ChiSquare,0.01,12,1.0,,vertebral,T1,I
ChiSquare,0.01,13,1.0,,vertebral,T1,I
ChiSquare,0.01,14,0.6666666666666666,,vertebral,T1,I
ChiSquare,0.01,15,0.0,,vertebral,T1,I
ChiSquare,0.01,16,0.0,,vertebral,T1,I
ChiSquare,0.01,17,0.0,,vertebral,T1,I
ChiSquare,0.01,18,0.0,,vertebral,T1,I
ChiSquare,0.01,19,1.0,,vertebral,T1,I
ChiSquare,0.05,0,1.0,0.7342657342657343,vertebral,T1,I
ChiSquare,0.05,1,1.0,0.7762237762237763,vertebral,T1,I
ChiSquare,0.05,2,0.0,0.9720279720279721,vertebral,T1,I
ChiSquare,0.05,3,0.0,0.6923076923076924,vertebral,T1,I
ChiSquare,0.05,4,1.0,0.9090909090909092,vertebral,T1,I
ChiSquare,0.05,5,0.0,0.8671328671328673,vertebral,T1,I
ChiSquare,0.05,6,1.0,0.9580419580419581,vertebral,T1,I
ChiSquare,0.05,7,1.0,0.9160839160839163,vertebral,T1,I
ChiSquare,0.05,8,0.0,0.6853146853146854,vertebral,T1,I
ChiSquare,0.05,9,1.0,0.9370629370629372,vertebral,T1,I
ChiSquare,0.05,10,1.0,0.9440559440559443,vertebral,T1,I
ChiSquare,0.05,11,1.0,0.8461538461538463,vertebral,T1,I
ChiSquare,0.05,12,1.0,0.8321678321678322,vertebral,T1,I
ChiSquare,0.05,13,1.0,0.7692307692307694,vertebral,T1,I
ChiSquare,0.05,14,0.0,0.9300699300699302,vertebral,T1,I
ChiSquare,0.05,15,1.0,0.7622377622377624,vertebral,T1,I
ChiSquare,0.05,16,1.0,0.9370629370629372,vertebral,T1,I
ChiSquare,0.05,17,1.0,0.9580419580419581,vertebral,T1,I
ChiSquare,0.05,18,1.0,0.6503496503496504,vertebral,T1,I
ChiSquare,0.05,19,1.0,0.9720279720279721,vertebral,T1,I
ChiSquare,0.1,0,0.5,0.983478260869565,vertebral,T1,I
ChiSquare,0.1,1,0.5,0.946086956521739,vertebral,T1,I
ChiSquare,0.1,2,0.5,0.8608695652173911,vertebral,T1,I
ChiSquare,0.1,3,0.5,0.7339130434782607,vertebral,T1,I
ChiSquare,0.1,4,1.0,0.8869565217391304,vertebral,T1,I
ChiSquare,0.1,5,1.0,0.9730434782608696,vertebral,T1,I
ChiSquare,0.1,6,1.0,0.9121739130434783,vertebral,T1,I
ChiSquare,0.1,7,0.5,0.9678260869565216,vertebral,T1,I
ChiSquare,0.1,8,1.0,0.9252173913043478,vertebral,T1,I
ChiSquare,0.1,9,1.0,0.9852173913043477,vertebral,T1,I
ChiSquare,0.1,10,1.0,0.8095652173913043,vertebral,T1,I
ChiSquare,0.1,11,1.0,0.8547826086956521,vertebral,T1,I
ChiSquare,0.1,12,0.5,0.9356521739130433,vertebral,T1,I
ChiSquare,0.1,13,1.0,0.9217391304347825,vertebral,T1,I
ChiSquare,0.1,14,1.0,0.9808695652173912,vertebral,T1,I
ChiSquare,0.1,15,0.5,0.9426086956521739,vertebral,T1,I
ChiSquare,0.1,16,1.0,0.9608695652173912,vertebral,T1,I
ChiSquare,0.1,17,0.5,0.9399999999999998,vertebral,T1,I
ChiSquare,0.1,18,1.0,0.9652173913043477,vertebral,T1,I
ChiSquare,0.1,19,1.0,0.8739130434782607,vertebral,T1,I
COPOD,0.01,0,0.6666666666666666,,vertebral,T1,II
COPOD,0.01,1,0.6666666666666666,,vertebral,T1,II
COPOD,0.01,2,0.0,,vertebral,T1,II
COPOD,0.01,3,0.0,,vertebral,T1,II
COPOD,0.01,4,0.0,,vertebral,T1,II
COPOD,0.01,5,1.0,,vertebral,T1,II
COPOD,0.01,6,0.6666666666666666,,vertebral,T1,II
COPOD,0.01,7,0.0,,vertebral,T1,II
COPOD,0.01,8,1.0,,vertebral,T1,II
COPOD,0.01,9,1.0,,vertebral,T1,II
COPOD,0.01,10,0.0,,vertebral,T1,II
COPOD,0.01,11,1.0,,vertebral,T1,II
COPOD,0.01,12,0.0,,vertebral,T1,II
COPOD,0.01,13,0.0,,vertebral,T1,II
COPOD,0.01,14,0.6666666666666666,,vertebral,T1,II
COPOD,0.01,15,0.0,,vertebral,T1,II
COPOD,0.01,16,0.0,,vertebral,T1,II
COPOD,0.01,17,0.0,,vertebral,T1,II
COPOD,0.01,18,1.0,,vertebral,T1,II
COPOD,0.01,19,1.0,,vertebral,T1,II
COPOD,0.05,0,0.0,0.5734265734265735,vertebral,T1,II
COPOD,0.05,1,1.0,0.9720279720279721,vertebral,T1,II
COPOD,0.05,2,0.0,0.9020979020979022,vertebral,T1,II
COPOD,0.05,3,0.0,0.07692307692307693,vertebral,T1,II
COPOD,0.05,4,1.0,0.9020979020979022,vertebral,T1,II
COPOD,0.05,5,1.0,0.8811188811188813,vertebral,T1,II
COPOD,0.05,6,1.0,0.965034965034965,vertebral,T1,II
COPOD,0.05,7,0.0,0.4055944055944056,vertebral,T1,II
COPOD,0.05,8,0.0,-0.02097902097902098,vertebral,T1,II
COPOD,0.05,9,1.0,0.9020979020979022,vertebral,T1,II
COPOD,0.05,10,1.0,0.8811188811188813,vertebral,T1,II
COPOD,0.05,11,0.0,0.8811188811188813,vertebral,T1,II
COPOD,0.05,12,0.0,0.8181818181818183,vertebral,T1,II
COPOD,0.05,13,0.0,0.30069930069930073,vertebral,T1,II
COPOD,0.05,14,0.0,0.7832167832167832,vertebral,T1,II
COPOD,0.05,15,1.0,-0.06993006993006995,vertebral,T1,II
COPOD,0.05,16,1.0,0.9370629370629372,vertebral,T1,II
COPOD,0.05,17,0.0,0.8671328671328673,vertebral,T1,II
COPOD,0.05,18,1.0,0.8951048951048951,vertebral,T1,II
COPOD,0.05,19,0.0,0.7272727272727274,vertebral,T1,II
COPOD,0.1,0,1.0,0.8095652173913043,vertebral,T1,II
COPOD,0.1,1,0.5,0.6191304347826087,vertebral,T1,II
COPOD,0.1,2,1.0,0.9313043478260868,vertebral,T1,II
COPOD,0.1,3,0.5,0.8573913043478261,vertebral,T1,II
COPOD,0.1,4,0.5,0.8147826086956521,vertebral,T1,II
COPOD,0.1,5,0.5,0.8999999999999999,vertebral,T1,II
COPOD,0.1,6,0.5,0.6008695652173912,vertebral,T1,II
COPOD,0.1,7,1.0,0.8965217391304346,vertebral,T1,II
COPOD,0.1,8,1.0,0.9382608695652173,vertebral,T1,II
COPOD,0.1,9,0.5,0.7130434782608696,vertebral,T1,II
COPOD,0.1,10,1.0,0.8808695652173912,vertebral,T1,II
COPOD,0.1,11,0.5,0.8904347826086956,vertebral,T1,II
COPOD,0.1,12,0.5,0.8547826086956521,vertebral,T1,II
COPOD,0.1,13,1.0,0.9313043478260868,vertebral,T1,II
COPOD,0.1,14,0.5,0.9165217391304347,vertebral,T1,II
COPOD,0.1,15,1.0,0.8886956521739129,vertebral,T1,II
COPOD,0.1,16,1.0,0.5843478260869565,vertebral,T1,II
COPOD,0.1,17,1.0,0.5669565217391304,vertebral,T1,II
COPOD,0.1,18,1.0,0.9069565217391303,vertebral,T1,II
COPOD,0.1,19,0.5,0.7017391304347826,vertebral,T1,II
ECOD,0.01,0,0.6666666666666666,,vertebral,T1,II
ECOD,0.01,1,0.6666666666666666,,vertebral,T1,II
ECOD,0.01,2,0.6666666666666666,,vertebral,T1,II
ECOD,0.01,3,0.6666666666666666,,vertebral,T1,II
ECOD,0.01,4,0.6666666666666666,,vertebral,T1,II
ECOD,0.01,5,0.6666666666666666,,vertebral,T1,II
ECOD,0.01,6,0.6666666666666666,,vertebral,T1,II
ECOD,0.01,7,0.6666666666666666,,vertebral,T1,II
ECOD,0.01,8,0.6666666666666666,,vertebral,T1,II
ECOD,0.01,9,0.6666666666666666,,vertebral,T1,II
ECOD,0.01,10,0.6666666666666666,,vertebral,T1,II
ECOD,0.01,11,0.6666666666666666,,vertebral,T1,II
ECOD,0.01,12,0.6666666666666666,,vertebral,T1,II
ECOD,0.01,13,0.6666666666666666,,vertebral,T1,II
ECOD,0.01,14,0.6666666666666666,,vertebral,T1,II
ECOD,0.01,15,0.6666666666666666,,vertebral,T1,II
ECOD,0.01,16,0.0,,vertebral,T1,II
ECOD,0.01,17,0.6666666666666666,,vertebral,T1,II
ECOD,0.01,18,0.6666666666666666,,vertebral,T1,II
ECOD,0.01,19,0.6666666666666666,,vertebral,T1,II
ECOD,0.05,0,1.0,0.7040291006800381,vertebral,T1,II
ECOD,0.05,1,1.0,0.62697118916282,vertebral,T1,II
ECOD,0.05,2,0.0,0.8315840663996672,vertebral,T1,II
ECOD,0.05,3,0.0,0.5664335664335665,vertebral,T1,II
ECOD,0.05,4,1.0,0.965034965034965,vertebral,T1,II
ECOD,0.05,5,0.0,0.6363636363636365,vertebral,T1,II
ECOD,0.05,6,1.0,0.8741258741258742,vertebral,T1,II
ECOD,0.05,7,1.0,0.9090909090909092,vertebral,T1,II
ECOD,0.05,8,0.0,0.8111888111888113,vertebral,T1,II
ECOD,0.05,9,0.0,0.9440559440559443,vertebral,T1,II
ECOD,0.05,10,1.0,0.965034965034965,vertebral,T1,II
ECOD,0.05,11,0.0,0.9230769230769231,vertebral,T1,II
ECOD,0.05,12,1.0,0.7762237762237763,vertebral,T1,II
ECOD,0.05,13,0.0,0.9352028352316923,vertebral,T1,II
ECOD,0.05,14,0.0,0.756568585805414,vertebral,T1,II
ECOD,0.05,15,1.0,0.8161133356141735,vertebral,T1,II
ECOD,0.05,16,1.0,0.9090909090909092,vertebral,T1,II
ECOD,0.05,17,1.0,0.9440559440559443,vertebral,T1,II
ECOD,0.05,18,0.0,0.7062937062937064,vertebral,T1,II
ECOD,0.05,19,1.0,0.9510489510489512,vertebral,T1,II
ECOD,0.1,0,0.5,0.9217391304347825,vertebral,T1,II
ECOD,0.1,1,1.0,0.868695652173913,vertebral,T1,II
ECOD,0.1,2,1.0,0.8808695652173912,vertebral,T1,II
ECOD,0.1,3,0.5,0.76,vertebral,T1,II
ECOD,0.1,4,0.5,0.8991304347826086,vertebral,T1,II
ECOD,0.1,5,0.5,0.9799999999999999,vertebral,T1,II
ECOD,0.1,6,1.0,0.9654272896196059,vertebral,T1,II
ECOD,0.1,7,0.5,0.9678260869565216,vertebral,T1,II
ECOD,0.1,8,0.5,0.8895652173913042,vertebral,T1,II
ECOD,0.1,9,1.0,0.957391304347826,vertebral,T1,II
ECOD,0.1,10,0.5,0.8756521739130434,vertebral,T1,II
ECOD,0.1,11,0.5,0.8732333322325083,vertebral,T1,II
ECOD,0.1,12,0.5,0.9469565217391304,vertebral,T1,II
ECOD,0.1,13,0.5,0.9078260869565216,vertebral,T1,II
ECOD,0.1,14,1.0,0.9695652173913042,vertebral,T1,II
ECOD,0.1,15,1.0,0.9321152355267918,vertebral,T1,II
ECOD,0.1,16,1.0,0.9286956521739129,vertebral,T1,II
ECOD,0.1,17,1.0,0.9608695652173912,vertebral,T1,II
ECOD,0.1,18,0.0,0.9469565217391304,vertebral,T1,II
ECOD,0.1,19,0.5,0.8895652173913042,vertebral,T1,II
HBOS,0.01,0,0.0,,vertebral,T1,II
HBOS,0.01,1,1.0,,vertebral,T1,II
HBOS,0.01,2,1.0,,vertebral,T1,II
HBOS,0.01,3,1.0,,vertebral,T1,II
HBOS,0.01,4,1.0,,vertebral,T1,II
HBOS,0.01,5,0.0,,vertebral,T1,II
HBOS,0.01,6,1.0,,vertebral,T1,II
HBOS,0.01,7,1.0,,vertebral,T1,II
HBOS,0.01,8,0.0,,vertebral,T1,II
HBOS,0.01,9,1.0,,vertebral,T1,II
HBOS,0.01,10,1.0,,vertebral,T1,II
HBOS,0.01,11,1.0,,vertebral,T1,II
HBOS,0.01,12,0.0,,vertebral,T1,II
HBOS,0.01,13,1.0,,vertebral,T1,II
HBOS,0.01,14,0.0,,vertebral,T1,II
HBOS,0.01,15,0.0,,vertebral,T1,II
HBOS,0.01,16,1.0,,vertebral,T1,II
HBOS,0.01,17,0.0,,vertebral,T1,II
HBOS,0.01,18,1.0,,vertebral,T1,II
HBOS,0.01,19,1.0,,vertebral,T1,II
HBOS,0.05,0,0.0,-0.41331061631962435,vertebral,T1,II
HBOS,0.05,1,1.0,0.7132867132867133,vertebral,T1,II
HBOS,0.05,2,0.0,0.5919448657459025,vertebral,T1,II
HBOS,0.05,3,0.0,0.17192982456140354,vertebral,T1,II
HBOS,0.05,4,1.0,0.6153846153846154,vertebral,T1,II
HBOS,0.05,5,0.0,0.4343264103697747,vertebral,T1,II
HBOS,0.05,6,1.0,0.4798606308117672,vertebral,T1,II
HBOS,0.05,7,0.0,-0.46046334209320994,vertebral,T1,II
HBOS,0.05,8,0.0,-0.24561554703787639,vertebral,T1,II
HBOS,0.05,9,1.0,0.2680880252993627,vertebral,T1,II
HBOS,0.05,10,0.0,0.12631656704805072,vertebral,T1,II
HBOS,0.05,11,0.0,0.273205322651955,vertebral,T1,II
HBOS,0.05,12,0.0,0.06293706293706294,vertebral,T1,II
HBOS,0.05,13,1.0,0.19614741113473694,vertebral,T1,II
HBOS,0.05,14,1.0,0.17162898474289487,vertebral,T1,II
HBOS,0.05,15,0.0,0.4763579984700755,vertebral,T1,II
HBOS,0.05,16,0.0,0.7552447552447553,vertebral,T1,II
HBOS,0.05,17,1.0,0.013986013986013986,vertebral,T1,II
HBOS,0.05,18,0.0,0.7670764828304892,vertebral,T1,II
HBOS,0.05,19,0.0,0.5944055944055945,vertebral,T1,II
HBOS,0.1,0,0.5,0.7020444335296856,vertebral,T1,II
HBOS,0.1,1,0.5,0.5836051453466267,vertebral,T1,II
HBOS,0.1,2,0.5,0.6726125893316894,vertebral,T1,II
HBOS,0.1,3,0.5,0.7791304347826087,vertebral,T1,II
HBOS,0.1,4,1.0,0.6488253110039433,vertebral,T1,II
HBOS,0.1,5,0.0,0.5530896955359186,vertebral,T1,II
HBOS,0.1,6,1.0,0.2576154152342954,vertebral,T1,II
HBOS,0.1,7,1.0,0.8188736875467196,vertebral,T1,II
HBOS,0.1,8,1.0,0.8685817040669824,vertebral,T1,II
HBOS,0.1,9,0.5,0.612307037740723,vertebral,T1,II
HBOS,0.1,10,1.0,0.4248749828641239,vertebral,T1,II
HBOS,0.1,11,1.0,0.5430811456290552,vertebral,T1,II
HBOS,0.1,12,0.4,0.6952360399431047,vertebral,T1,II
HBOS,0.1,13,0.5,0.6081475418958977,vertebral,T1,II
HBOS,0.1,14,0.5,0.7777294475859069,vertebral,T1,II
HBOS,0.1,15,0.5,0.7747826086956522,vertebral,T1,II
HBOS,0.1,16,0.5,0.8095652173913043,vertebral,T1,II
HBOS,0.1,17,0.5,0.5245759521913264,vertebral,T1,II
HBOS,0.1,18,0.5,0.6475198274807965,vertebral,T1,II
HBOS,0.1,19,0.0,0.48107877539270893,vertebral,T1,II
IForest,0.01,0,0.6666666666666666,,vertebral,T1,III
IForest,0.01,1,0.6666666666666666,,vertebral,T1,III
IForest,0.01,2,0.6666666666666666,,vertebral,T1,III
IForest,0.01,3,0.6666666666666666,,vertebral,T1,III
IForest,0.01,4,0.6666666666666666,,vertebral,T1,III
IForest,0.01,5,0.6666666666666666,,vertebral,T1,III
IForest,0.01,6,0.6666666666666666,,vertebral,T1,III
IForest,0.01,7,0.6666666666666666,,vertebral,T1,III
